Notering;Titel;Artiest;Jaar
1937;To deserve you;Bette Midler;1996
1938;What Can I Say;Boz Scaggs;1977
1939;Silly love;10cc;1974
1940;Can't Get Enough of Your Love, Babe;Barry White;1974
1941;The Ballad of John and Yoko;The Beatles;1969
1942;Kaap'ren Vaaren;Fungus;1974
1943;Well Allright;Buddy Holly;1958
1944;9 to 5;Dolly Parton;1981
1945;Waiting for a girl like you;Foreigner;1982
1946;I Knew You Were Waiting (for Me);George Michael & Aretha Franklin;1987
1947;It started with a kiss;Hot Chocolate;1982
1948;Another day;Buckshot LeFonque;1997
1949;I got you Babe;Sonny & Cher;1965
1950;Back for good;Take That;1995
1951;Simple Song of Freedom;Tim Hardin;1970
1952;The great pretender;Freddie Mercury;1987
1953;Heading for a fall;Vaya Con Dios;1992
1954;Two Shots of Happy One Shot of Sad;Matt Dusk;2005
1955;World;Bee Gees;1967
1956;Addicted to love;Robert Palmer;1986
1957;It's Hard to Be Tender;Carly Simon;1989
1958;All I Have to Do Is Dream;The Everly Brothers;1958
1959;Happy Xmas (War is over);John Lennon & Yoko Ono;1972
1960;A groovy kind of love;Phil Collins;1988
1961;Short People;Randy Newman;1977
1962;Poppa Joe;The Sweet;1972
1963;I Scare Myself;Thomas Dolby;1984
1964;Voulez-vous;ABBA;1979
1965;Comment ça va;The Shorts;1983
1966;Gin house blues;Amen Corner;1967
1967;Sail Along Silvery Moon;Billy Vaughn Orchestra;1958
1968;Melting Pot;Blue Mink;1970
1969;Now;Dave Berry;1965
1970;De troubadour;Lenny Kuhr;1969
1971;Black Is Black;Los Bravos;1966
1972;Enola Gay;O.M.D.;1980
1973;I don't wanna talk about it;Rod Stewart;1977
1974;Reflections of My Life;Marmalade;1970
1975;More than this;Roxy Music;1982
1976;Skandal im Sperrbezirk;Spider Murphy Gang;1982
1977;The Wild Boys;Duran Duran;1984
1978;O, o, Den Haag;Harry Klorkestein;1982
1979;The Great Pretender;The Platters;1957
1980;Capital punishment;Sandy Coast;1969
1981;Let's stay together;Tina Turner;1983
1982;Lowdown;Boz Scaggs;1977
1983;Sacrifice;Elton John;1990
1984;Ik wil jou;Polle Eduard;1979
1985;Alone Again (Naturally);Gilbert O'Sullivan;1972
1986;Wild horses;Gino Vannelli;1987
1987;Home on a Monday;Little River Band;1977
1988;Oh! Carol;Neil Sedaka;1960
1989;Please please me;The Beatles;1964
1990;Frank Mills;Bojoura;1969
1991;Cathy's Clown;The Everly Brothers;1960
1992;Everybody's Somebody's Fool;Connie Francis;1960
1993;Keep On Running;The Spencer Davis Group;1966
1994;Pictures of Lily;The Who;1967
1995;Theme from 'The Deer Hunter';The Shadows;1979
1996;Get Off of My Cloud;The Rolling Stones;1965
1997;Everlasting Love;Love Affair;1968
1998;Little man;Sonny & Cher;1966
1999;Those were the days;Mary Hopkin;1968
2000;Sausolito Summernight;Diesel;1980
